Brand,Model Name,Screen Size,Colour,CPU Model,RAM Memory Installed Size,Operating System,Special Feature,Graphics Card Description,CPU Speed,HDD,Price
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i3,8 GB,Windows 11 Home,Thin,Integrated,3.3 GHz,,"32,990"
Dell,Inspiron 3520,15.6 Inches,Silver,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,,512 GB,"51,500"
Lenovo,Lenovo ThinkPad,14 Inches,,Intel Core i5,16 GB,Windows,"Touchscreen, Webcam, Light Weight, Thin",Integrated,2.5 GHz,256 GB,
Lenovo,Lenovo ThinkPad,12.5 Inches,,Intel Core i5,8 GB,Windows,"Webcam, Light Weight, Thin",Integrated,2.2 GHz,256 GB,
HP,640G3-cr,14 Inches,,Core i5 7200U,16 GB,Windows 10 Pro,,Integrated,2.5 GHz,512 GB,
Acer,Aspire Lite,15.6 Inches,Steel Gray,Ryzen 3 5300U,8 GB,Windows 11 Home,Light Weight,Integrated,,,"26,990"
HP,HP Laptop,15.6 Inches,Silver,AMD Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Screen, Micro Edge Display, Thin",Integrated,,512 GB,"49,870"
HP,HP Laptop,15.6 Inches,Silver,AMD Ryzen 5 5500U,8 GB,Windows 11 Home,"Anti Glare Screen, Micro Edge Display, Backlit Keyboard, Thin, Numeric Keypad",Integrated,,512 GB,"38,490"
Dell,Dell Laptop,14 Inches,Carbon Black,Ryzen 5 5500U,8 GB,Windows 11 Home,Thin,Integrated,,512 GB,"35,990"
Apple,MacBook Pro,14 Inches,Space Grey,Apple M2 Ultra,8 GB,Mac OS,Backlit Keyboard,Integrated,,1 TB,"1,74,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,AMD Ryzen 5 5500U,8 GB,Windows 11 Home,"Portable, Thin",Integrated,,,"33,030"
Lenovo,ThinkBook 15 G5,15.6 Inches,Mineral Grey,Ryzen 7,16 GB,Windows 11 Home,Fingerprint Reader,Integrated,,,"48,480"
ASUS,Vivobook S 15 OLED (2023),15.6 Inches,"Silver,16GB RAM | 512GB SSD,OLED",Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,512 GB,"74,990"
HP,HP Laptop,15.6 Inches,Silver,AMD Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Screen, Micro Edge Display, Thin",Integrated,,512 GB,"49,870"
HP,HP Laptop,15.6 Inches,Silver,AMD Ryzen 5 5500U,8 GB,Windows 11 Home,"Anti Glare Screen, Micro Edge Display, Backlit Keyboard, Thin, Numeric Keypad",Integrated,,512 GB,"38,490"
Lenovo,IdeaPad Slim 3,14 Inches,Arctic Grey,Intel Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,512 GB,"52,399"
Lenovo,LOQ,15.6 Inches,Luna Grey,Intel Core i7,24 GB,Windows 11,"Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"1,05,990"
ASUS,Vivobook Go 14 (2023),14 Inches,Grey Green,Ryzen 3,8 GB,Windows 11 Home,Anti Glare Coating,Integrated,,512 GB,"31,700"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i5-1235U,16 GB,Windows 11 Home,Thin,Integrated,,,"40,990"
HP,15-fa1317X,39.6 Centimetres,Blue,Intel Core i5,16 GB,Windows 11 Home,Anti Glare Screen,Dedicated,,1 TB,"79,990"
ASUS,Vivobook S15 OLED (2022),39.62 Centimetres,Green 16GB OLED,Core i5,16 GB,Windows 11 Home,"FHD (1920 x 1080) OLED 16:9 aspect ratio Display, 100% DCI-P3 color gamut, Fingerprint Recognition, Backlit Chiclet Keyboard with Num-key, Thunderbolt 4FHD (1920 x 1080) OLED 16:9 aspect ratio Display, 100% DCI-P3 color gamu…See more",Integrated,,512 GB,"63,990"
HP,HP Pavilion Laptop,40.6 Centimetres,Natural Silver,Core i7,16 GB,Windows 11 Home,"Intel® Evo™ laptop, NVIDIA® GeForce RTX™ 3050 Laptop GPU (6 GB GDDR6 dedicated), Backlit Keyboard, Numeric Keyboard, Low blue light, Oled Display WQXGA (2560 x 1600), 400 NitsIntel® Evo™ laptop, NVIDIA® GeForce RTX™ 3050 Lapt…See more",Dedicated,,1 TB,"1,04,980"
HP,HP Laptop,39.6 Centimetres,Natural Silver,Core i3,8 GB,Windows 11 Home,"FHD, Micro-Edge Display, Anti-Glare, Numeric Keypad",Integrated,,512 GB,"39,970"
MSI,Modern 14 C12M-459IN,36 Centimetres,Classic Black,Core i7,16 GB,Windows 11 Home,Thin,Integrated,,512 GB,"48,990"
